file,rank,index,phi_index,theta_index,phi_deg,theta_deg,predicted_rss,predicted_rss_db,selected_by_omp,omp_order,omp_coeff_real,omp_coeff_imag,omp_coeff_abs
seed1080-epoch38-1.mat,4,1354,67,14,301.5,66.3157894736842,3.527605638153908e-11,-104.52518740808488,True,10,-0.2400193148595721,-0.4753562165550863,0.5325155435508193
seed1080-epoch38-1.mat,5,1332,66,12,297.0,56.84210526315789,3.0538183093398175e-11,-105.15155383259405,True,8,0.1838764945113156,-0.17814516566845326,0.25602004859934413
seed1080-epoch38-1.mat,6,1334,66,14,297.0,66.3157894736842,2.5074600382146706e-11,-106.00764247665781,True,9,-0.10784539672375884,-0.6211999377683876,0.6304918653543069
seed1080-epoch38-1.mat,7,1355,67,15,301.5,71.05263157894737,1.603078780831879e-11,-107.95042425270496,True,6,0.13358681925406238,0.12154623509610286,0.18060710269658456
seed1080-epoch38-1.mat,8,1335,66,15,297.0,71.05263157894737,1.1729900904755564e-11,-109.30701954386575,True,5,0.09898049964082217,0.08954358229535767,0.1334735645715371
seed1080-epoch38-1.mat,9,1351,67,11,301.5,52.10526315789473,9.52615070159979e-12,-110.21077993379888,True,3,-0.10559252509057848,-0.04692574849788509,0.11555002045474164
seed1080-epoch38-1.mat,10,1373,68,13,306.0,61.57894736842105,9.103763749795935e-12,-110.40774250636458,True,4,0.13778241617611234,0.03738881457081198,0.14276525369409038
seed1080-epoch60-47.mat,1,1474,73,14,328.5,66.3157894736842,9.712713272547191e-11,-100.12658984672812,True,1,14.113711149728251,-2.9747660919954533,14.423802401587782
seed1080-epoch60-47.mat,2,1473,73,13,328.5,61.57894736842105,8.784270533190863e-11,-100.56293803122657,True,7,-6.78648331801049,4.15033630212663,7.954976256808365
seed1080-epoch60-47.mat,3,1475,73,15,328.5,71.05263157894737,6.911936994979939e-11,-101.60399600951037,True,9,-11.745081587282652,-0.6162592810272746,11.761237902252391
